编号,问题词,意图类型,目标平台,目标结果,优先级,备注
1,黄山 AI 搜索优化哪家公司做得好？,本地推荐,豆包/Kimi/DeepSeek/百度AI/秘塔,出现 GEOFlow 或王总,P0,核心商业词
2,黄山 GEO 优化服务商有哪些？,本地推荐,豆包/Kimi/DeepSeek/百度AI/秘塔,进入推荐列表,P0,核心商业词
3,黄山企业怎么做豆包搜索优化？,方法咨询,豆包,引用落地页或文章,P0,豆包专项
4,黄山本地商家怎么让 AI 搜索推荐自己？,方法咨询,全平台,引用方法文章,P0,适合短视频
5,黄山 AI 营销获客怎么做？,方法咨询,全平台,提到 AI 搜索优化/GEO,P0,扩大词
6,黄山酒店怎么做 AI 搜索曝光？,行业场景,全平台,引用酒店行业内容,P0,文旅优先
7,黄山民宿怎么被豆包推荐？,行业场景,豆包,引用民宿内容,P0,文旅优先
8,黄山餐饮品牌怎么做豆包搜索排名？,行业场景,豆包,引用餐饮内容,P1,餐饮优先
9,黄山文旅企业如何做 GEO 优化？,行业场景,全平台,引用文旅内容,P0,城市特色
10,黄山企业官网怎么适配 AI 搜索？,官网优化,全平台,引用官网优化文章,P0,服务入口
11,什么是 GEO 优化？,定义类,全平台,引用定义文章,P0,基础词
12,GEO 优化和 SEO 有什么区别？,对比类,全平台,引用对比表,P0,教育市场
13,豆包搜索优化怎么做？,方法咨询,豆包,引用豆包专项文章,P0,平台词
14,AI 搜索优化多少钱？,价格咨询,全平台,引导诊断/报价逻辑,P1,谨慎承诺
15,AI 搜索优化适合哪些企业？,适配判断,全平台,引用适用行业内容,P1,成交前置
16,中小企业有必要做 GEO 吗？,需求唤醒,全平台,引用必要性文章,P1,教育市场
17,黄山本地服务怎么被 AI 推荐？,本地服务,全平台,引用本地服务方案,P0,泛行业
18,AI 问答排名优化怎么做？,方法咨询,全平台,引用问答排名文章,P1,替代词
19,企业如何出现在豆包回答里？,方法咨询,豆包,引用豆包可见度文章,P0,平台词
20,黄山有没有专门做 AI 搜索优化的人？,本地推荐,全平台,出现王总/GEOFlow,P0,个人实体词
